Datum,BHKW1_Biogas (kg/m3),BHKW2_Biogas (kg/m3),Methangehalt CH4 (%),TS-Wert (g/L),pH-Wert
734159.915983796,2486.166412035,4964.16863427497,53.7037199555462,7.19757263485658,7.6314407142298
734159.99931713,2487.99974536919,4950.00196760171,53.5879791794303,7.2426379799994,7.63091116214918
734160.082650463,2463.75308742301,4964.16486301749,53.5734973889342,7.28370723079674,7.62904435673739
734160.165983796,2439.50280676975,4978.33169363967,53.5590296642251,7.3247764815367,7.6271775513282
734160.24931713,2415.25252608261,4992.49852428164,53.5445619394957,7.36584573233403,7.6253107459164
734160.332650463,2391.00224539547,5006.66535492361,53.5300942147664,7.40691498313136,7.6234439405046
734160.415983796,2366.75196474221,5020.83218554579,53.5156264900572,7.44798423387132,7.62157713509541
734160.49931713,2342.50168405507,5034.99901618776,53.5011587653279,7.48905348466865,7.61971032968361
734160.582650463,2318.25140336794,5049.16584682973,53.4866910405985,7.53012273546599,7.61784352427181
734160.665983796,2294.00112271467,5063.33267745191,53.4722233158894,7.29331986487674,7.57061947008828
734160.74931713,2269.75084202754,5077.49950809388,53.45775559116,6.97237007160193,7.55470957382399
734160.832650463,2245.5005613404,5091.66633873585,53.4432878664307,6.54290845597939,7.56381543785851
734160.915983796,2221.25028068714,5105.83316935803,53.4288201417215,7.07123546332136,7.57116982769637
734160.99931713,2197,5120,53.4143524169922,6.97388785353712,7.57422043158753
734161.082650463,2227.41631463852,5127.49991319854,53.3347816139798,6.67649572207888,7.58268024937418
734161.165983796,2257.83262923455,5134.9998263866,53.2552108110785,6.61385240146807,7.53450983154206
734161.24931713,2288.24894387307,5142.49973958514,53.1756400080661,6.96390599845387,7.57123470990393
734161.332650463,2318.66525851159,5149.99965278368,53.0960692050537,6.85991194783747,7.59510371510517
734161.415983796,2349.08157310762,5157.49956597174,53.0164984021525,6.5108489994266,7.59329142099784
734161.49931713,2379.49788774614,5164.99947917028,52.9369275991401,6.93968593787522,7.5654373768841
734161.582650463,2409.91420238466,5172.49939236882,52.8573567961277,6.78141707068639,7.57948983548898
734161.665983796,2440.33051698069,5179.99930555688,52.7777859932264,6.65447243762934,7.58153741969205
734161.74931713,2470.74683161921,5187.49921875542,52.698215190214,6.97101478594999,7.55941030566006
734161.832650463,2501.16314625773,5194.99913195396,52.6186443872016,6.90452617850764,7.58063571510517
734161.915983796,2531.57946085376,5202.49904514202,52.5390735843004,6.62370564464511,7.57882318137978
734161.99931713,2561.99577549228,5209.99895834056,52.459502781288,6.55943105944437,7.57320263682494
734162.082650463,2564.66629629582,5172.50520834001,52.4691352164287,6.90048400957849,7.5853922228883
734162.165983796,2567.33296296001,5135.00520837493,52.4787800426729,6.66590702810421,7.55543004792068
734162.24931713,2569.99962962791,5097.50520835747,52.4884248689307,6.50255787518894,7.53192153489617
734162.332650463,2572.66629629582,5060.00520834001,52.4980696951884,6.8786722317448,7.54898695602295
734162.415983796,2575.33296296001,5022.50520837493,52.5077145214327,6.67893259033152,7.53590130307948
734162.49931713,2577.99962962791,4985.00520835747,52.5173593476905,6.61409297262237,7.51311378489617
734162.582650463,2580.66629629582,4947.50520834001,52.5270041739482,6.91121232086429,7.58426004294598
734162.665983796,2583.33296296001,4910.00520837493,52.5366490001925,6.79661517985897,7.59709093784437
734162.74931713,2585.99962962791,4872.50520835747,52.5462938264502,6.60249947352716,7.60305769953984
734162.832650463,2588.66629629582,4835.00520834001,52.555938652708,6.26707229563619,7.59775132122371
734162.915983796,2591.33296296001,4797.50520837493,52.5655834789522,6.76596415109405,7.48935052440187
734162.99931713,2593.99962962791,4760.00520835747,52.57522830521,6.81844908675346,7.56030125397043
734163.082650463,2592.00027777813,4796.66157406755,52.5462985490038,6.62041382909539,7.53928455422341
734163.165983796,2590.00027778,4833.32824070007,52.5173634344881,6.83078498867064,7.5409673393841
734163.24931713,2588.00027777907,4869.99490738381,52.488428319932,6.77649022522232,7.55079418785793
734163.332650463,2586.00027777813,4906.66157406755,52.4594932053759,6.90782864589122,7.47508335224555
734163.415983796,2584.00027778,4943.32824070007,52.4305580908602,7.00626081179726,7.51412554647155
734163.49931713,2582.00027777907,4979.99490738381,52.4016229763041,6.87449985845671,7.57166009470175
734163.582650463,2580.00027777813,5016.66157406755,52.372687861748,6.64734416123993,7.58684377724666
734163.665983796,2578.00027778,5053.32824070007,52.3437527472323,6.41031574317704,7.43207629639987
734163.74931713,2576.00027777907,5089.99490738381,52.3148176326761,6.93849441477484,7.53905440452519
734163.832650463,2574.00027777813,5126.66157406755,52.28588251812,6.80649730655545,7.53566098183556
734163.915983796,2572.00027778,5163.32824070007,52.2569474036043,6.35880465212878,7.51727379400332
734163.99931713,2570.00027777907,5199.99490738381,52.2280122890482,6.84852964596572,7.53437047496426
734164.082650463,2562.16775463102,5186.66851852089,52.3268565516384,6.83895946474505,7.55886554142828
734164.165983796,2554.33442130499,5173.33518519998,52.4257185637737,6.69594274332039,7.52384184838859
734164.24931713,2546.50108796801,5160.00185186043,52.5245805760471,6.91259988307338,7.50715244426101
734164.332650463,2538.66775463102,5146.66851852089,52.6234425883206,6.85765310969846,7.52715797226247
734164.415983796,2530.83442130499,5133.33518519998,52.7223046004559,6.66893006317472,7.56273397153742
734164.49931713,2523.00108796801,5120.00185186043,52.8211666127293,6.45287759781131,7.56700957900604
734164.582650463,2515.16775463102,5106.66851852089,52.9200286250027,6.77112170436381,7.57406309847037
734164.665983796,2507.33442130499,5093.33518519998,53.018890637138,6.75202043777269,7.572977069926
734164.74931713,2499.50108796801,5080.00185186043,53.1177526494114,6.58695051763703,7.51051590529825
734164.832650463,2491.66775463102,5066.66851852089,53.2166146616848,6.84333015881838,7.42877183781977
734164.915983796,2483.83442130499,5053.33518519998,53.3154766738201,6.82423828753874,7.49745431360477
734164.99931713,2476.00108796801,5040.00185186043,53.4143386860935,7.06770547451328,7.58996807537227
734165.082650463,2475.58339120378,5042.49965277733,53.4939130892877,7.32163386542956,7.63065853525495
734165.165983796,2475.1667245375,5044.999652775,53.5734848131516,7.0215595824178,7.54487260092849
734165.24931713,2474.75005787064,5047.49965277617,53.6530565371266,6.79455316903535,7.55495419693989
734165.332650463,2474.33339120378,5049.99965277733,53.7326282611017,6.91842223872132,7.55971524870028
734165.415983796,2473.9167245375,5052.499652775,53.8121999849655,6.98520370606835,7.56544217876821
