Datum,BHKW1_Biogas (kg/m3),BHKW2_Biogas (kg/m3),Methangehalt CH4 (%),TS-Wert (g/L),pH-Wert
2009-12-18 23:58:59.520002,1853.236562,4939.998264,53.53009033,7.4421292,7.6840274
2009-12-19 01:59:05.280002,1853.236562,4939.998264,53.53009033,7.700929304000001,7.695281332
2009-12-19 03:59:02.399997,1853.236562,4939.998264,53.53009033,7.618456595666667,7.694114131
2009-12-19 05:58:59.520002,1853.236562,4939.998264,53.53009033,7.72043263725,7.69057932125
2009-12-19 07:59:05.280002,1853.236562,4939.998264,53.53009033,7.6885074594,7.6929617182
2009-12-19 09:59:02.399997,1853.236562,4939.998264,53.53009033,7.668741566833333,7.693652274333334
2009-12-19 11:58:59.520002,1853.236562,4939.998264,53.53009033,7.62817994757143,7.6940960637142854
2009-12-19 13:59:05.280002,1853.236562,4939.998264,53.53009033,7.6212756361250005,7.694566367125
2009-12-19 15:59:02.399997,1853.236562,4939.998264,53.53009033,7.656893306111111,7.695060758666666
2009-12-19 17:58:59.520002,1853.236562,4939.998264,53.53009033,7.701124955,7.6964517645
2009-12-19 19:59:05.280002,1853.236562,4939.998264,53.53009033,7.737775578909091,7.697937009727273
2009-12-19 21:59:02.399997,1853.236562,4939.998264,53.53009033,7.72835246325,7.698547640166667
2009-12-19 23:58:59.520002,1853.236562,4939.998264,53.53009033,7.7444504126923075,7.698781575
2009-12-20 01:59:05.280002,1853.236562,4941.902885357143,53.514763711428564,7.768207410142858,7.699124806214286
2009-12-20 03:59:02.399997,1853.236562,4945.331335,53.48717381066667,7.7859900246,7.700529723200001
2009-12-20 05:58:59.520002,1853.236562,4949.9978950625,53.449619993125,7.793968138562501,7.7016756785625
2009-12-20 07:59:05.280002,1853.236562,4955.6840755294115,53.403860597058824,7.783531023941176,7.701159854941176
2009-12-20 09:59:02.399997,1853.236562,4962.2199396666665,53.35126321888889,7.771847656555555,7.700228891333334
2009-12-20 11:58:59.520002,1853.236562,4969.471326842106,53.29290754,7.786320339157895,7.698565882789474
2009-12-20 13:59:05.280002,1853.236562,4977.330908649999,53.2296573055,7.7751892357,7.696588902349999
2009-12-20 15:59:02.399997,1853.236562,4985.711800142857,53.162211737142854,7.786366264714285,7.6950924186666665
2009-12-20 17:58:59.520002,1853.236562,4994.542913590909,53.09114292636364,7.798954796318182,7.693297844318182
2009-12-20 19:59:05.280002,1853.236562,5003.7655244347825,53.016923469999995,7.789954349739131,7.690919548434783
2009-12-20 21:59:02.399997,1853.236562,5013.3306955,52.93994719875,7.782686092374999,7.687466207666667
2009-12-20 23:58:59.520002,1857.106562,5023.19731952,52.8605449304,7.789973410159999,7.68623353084
2009-12-21 01:59:05.280002,1861.35038532,5034.76421264,52.75811437320001,7.79379352908,7.68512941016
2009-12-21 03:59:02.399997,1865.9675462800003,5045.09775816,52.6562625252,7.78071059732,7.68374481532
2009-12-21 05:58:59.520002,1870.95804492,5054.19795608,52.55498938600001,7.80589681108,7.68310430216
2009-12-21 07:59:05.280002,1876.3218812,5062.064806400001,52.45429495599999,7.78904314,7.68316226864
2009-12-21 09:59:02.399997,1882.05905512,5068.69830908,52.3541792348,7.78465641056,7.68250707092
2009-12-21 11:58:59.520002,1888.1695667200004,5074.098464160001,52.254642222799994,7.78482828036,7.681416742280001
2009-12-21 13:59:05.280002,1894.6534159599998,5078.26527164,52.15568391960001,7.80907887504,7.682184431960001
2009-12-21 15:59:02.399997,1901.51060288,5081.19873152,52.0573043256,7.813247645280001,7.68170559412
2009-12-21 17:58:59.520002,1908.7411274400001,5082.8988438,51.959503440400006,7.7978832944,7.68098772104
2009-12-21 19:59:05.280002,1916.3449896400002,5083.36560844,51.862281264399996,7.77174861836,7.67971733092
2009-12-21 21:59:02.399997,1924.32218952,5083.046315932044,51.7656377972,7.7640615112399995,7.678139875
2009-12-21 23:58:59.520002,1932.67272704,5082.4649996324915,51.669573038799996,7.779088528239999,7.6774501496
2009-12-22 01:59:05.280002,1940.75993124,5082.145692881122,51.5784272564,7.76598648504,7.676783723480001
2009-12-22 03:59:02.399997,1948.5838020800002,5081.545841041122,51.50078335640001,7.73855665288,7.6764798033199995
2009-12-22 05:58:59.520002,1956.1443396,5081.112655841122,51.4366425308,7.7138719376000005,7.675228386
2009-12-22 07:59:05.280002,1963.4415437999999,5080.846137321122,51.38600478,7.7005011124400005,7.674243861799999
2009-12-22 09:59:02.399997,1970.47541464,5080.746285481122,51.3488701036,7.69401272888,7.67490214444
2009-12-22 11:58:59.520002,1977.24595216,5080.813100281122,51.325238502000005,7.70011801324,7.676816281519999
2009-12-22 13:59:05.280002,1983.7531563599998,5081.046581761122,51.315109974799995,7.7009370776,7.679466597319999
2009-12-22 15:59:02.399997,1989.9970272,5081.446729921122,51.318484522400006,7.698411522719999,7.68213069944
2009-12-22 17:58:59.520002,1995.9775647200001,5082.013544721122,51.335362145199994,7.68813511228,7.68282074004
2009-12-22 19:59:05.280002,2001.6947689200001,5082.747026201122,51.365742842399996,7.666398482439999,7.68558701724
2009-12-22 21:59:02.399997,2007.14863976,5083.647174361122,51.409626614400004,7.66049808184,7.6880123556
2009-12-22 23:58:59.520002,2012.33917728,5084.713989161122,51.4670134608,7.652970750680001,7.69251065996
2009-12-23 01:59:05.280002,2013.65638148,5084.580804001122,51.5322128072,7.62816246024,7.694431494200001
2009-12-23 03:59:02.399997,2014.5964290000002,5085.547313641122,51.5960631184,7.6294311208,7.6965618750400004
2009-12-23 05:58:59.520002,2015.15980556,5087.613837561122,51.6585631216,7.624227315560001,7.698826112280001
